ContestantName,ContestantID,Series,early_avg_score,early_score_ratio,score_consistency,late_avg_score,score_variance,avg_rank,rank_variance,rank_changes,last_rank,comeback_factor,score_acceleration,avg_task_score,late_score_ratio,score_growth_rate,first_rank
Frank Skinner,1,1,12.333333333333334,0.7956989247311828,0.5415982907295925,82.85714285714286,623.6617647058823,2.823529411764706,1.0276816608996544,2,2,3,0.03125,2.735294117647059,6.236559139784946,2.5333842627960275,2
Josh Widdicombe,2,1,8.0,0.5161290322580645,0.6412966688709008,88.28571428571429,875.8961937716261,2.5294117647058822,2.013840830449828,2,1,3,-0.03125,2.735294117647059,6.645161290322581,3.0050420168067227,5
Roisin Conaty,3,1,4.833333333333333,0.4264705882352941,0.8224783208299743,63.285714285714285,410.32525951557085,4.970588235294118,0.02854671280276813,0,5,0,0.0,2.0,6.514705882352941,2.0443086325439266,4
Romesh Ranganathan,4,1,13.0,0.8387096774193549,0.5767491755657586,85.0,679.1185121107266,1.9705882352941178,0.4403114186851209,1,3,0,-0.03125,2.735294117647059,6.397849462365591,2.6446142093200917,3
Tim Key,5,1,11.833333333333334,0.8068181818181818,0.656735603490904,77.71428571428571,535.1141868512111,2.7058823529411766,1.2076124567474045,2,4,0,0.03125,2.588235294117647,6.181818181818182,2.337662337662338,1
Doc Brown,6,2,6.8,0.4358974358974359,0.8600261451922269,70.66666666666667,534.0752551020407,3.9642857142857144,0.17729591836734668,1,4,1,0.11538461538461539,2.7857142857142856,5.435897435897436,2.8437328954570336,2
Joe Wilkinson,7,2,7.0,0.5072463768115942,1.008574871996006,64.16666666666667,483.6224489795918,4.714285714285714,1.0612244897959175,0,5,0,-0.07692307692307693,2.4642857142857144,5.579710144927536,2.6907498631636564,1
Jon Richardson,8,2,10.2,0.5666666666666667,0.5149613433891763,83.0,706.5714285714286,1.7857142857142858,0.5255102040816328,6,2,2,-0.07692307692307693,3.2142857142857144,5.533333333333333,3.273672687465791,4
Katherine Ryan,9,2,9.8,0.5212765957446809,0.8048629923139462,88.16666666666667,857.952806122449,1.9642857142857142,0.8915816326530605,3,1,3,0.0,3.357142857142857,5.627659574468085,3.604542966611932,3
Richard Osman,10,2,11.0,0.6395348837209303,0.639006123908562,76.83333333333333,578.9323979591837,2.5714285714285716,0.7448979591836741,4,3,2,0.0,3.0714285714285716,5.3604651162790695,2.9559386973180075,5
Al Murray,11,3,12.4,0.775,0.6324555320336759,73.83333333333333,464.66709183673464,2.142857142857143,1.0510204081632655,4,3,1,-0.15384615384615385,2.857142857142857,5.5375,2.6521620142309796,2
Dave Gorman,12,3,7.2,0.4444444444444444,0.5720460660841034,75.66666666666667,622.1224489795919,2.9285714285714284,0.9234693877551018,2,2,2,-0.07692307692307693,2.892857142857143,5.604938271604938,3.079912424740011,3
Paul Chowdhry,13,3,3.4,0.25757575757575757,0.710022697809696,60.333333333333336,471.66709183673464,5.0,0.0,0,5,0,0.0,2.357142857142857,5.484848484848484,2.6642036124794743,5
Rob Beckett,14,3,9.6,0.5517241379310345,0.5325946132507169,77.66666666666667,592.5242346938775,1.6428571428571428,0.7295918367346935,7,1,3,0.0,3.107142857142857,5.35632183908046,3.00519978106185,4
Sara Pascoe,15,3,11.0,0.7638888888888888,0.6009252125773314,67.5,435.03443877551007,3.2857142857142856,0.6326530612244895,1,4,0,-0.11538461538461539,2.5714285714285716,5.625,2.572249589490969,1
Hugh Dennis,16,4,13.1,1.0155038759689923,0.7223458636012663,118.72727272727273,1470.5014792899403,3.769230769230769,0.9852071005917152,8,4,1,-0.02,2.480769230769231,10.124031007751938,2.5482796892341844,5
Joe Lycett,17,4,16.9,1.2426470588235294,0.6144877181110641,123.81818181818181,1487.3472633136093,2.3846153846153846,0.4289940828402361,6,2,3,-0.1,2.6153846153846154,10.014705882352942,2.564372918978912,4
Lolly Adefope,18,4,15.3,1.224,0.7263277497108316,115.45454545454545,1264.7792159763317,4.346153846153846,0.61094674556213,5,5,0,-0.04,2.4038461538461537,10.16,2.3643387688892687,3
Mel Giedroyc,19,4,17.5,1.3059701492537314,0.7585555677357052,117.72727272727273,1365.4330621301776,3.4615384615384617,1.0946745562130178,9,3,2,0.04,2.576923076923077,9.664179104477611,2.449116366430462,2
Noel Fielding,20,4,20.0,1.3888888888888888,0.6628944202100958,129.27272727272728,1502.059171597633,1.0384615384615385,0.036982248520710095,3,1,1,-0.06,2.769230769230769,9.875,2.568257491675916,1
Aisling Bea,21,5,13.666666666666666,0.9761904761904762,0.6573421981221796,119.1,1438.5039566847147,3.4693877551020407,0.6164098292378167,2,4,1,-0.06382978723404255,2.5714285714285716,9.452380952380953,2.6772448979591834,3
Bob Mortimer,22,5,17.22222222222222,1.1231884057971016,0.6678470960866062,124.6,1469.7367763431907,1.4489795918367347,0.45147855060391506,10,1,3,0.0,2.816326530612245,9.028985507246377,2.7051020408163278,4
Mark Watson,23,5,15.666666666666666,1.0846153846153845,0.6618961465938139,122.2,1449.3061224489795,1.836734693877551,0.5039566847147025,12,2,2,-0.0425531914893617,2.6530612244897958,9.4,2.681530612244898,1
Nish Kumar,24,5,12.11111111111111,1.0186915887850467,0.8206224829351473,97.3,892.6788837984175,4.857142857142857,0.12244897959183654,1,5,0,-0.0425531914893617,2.183673469387755,9.093457943925234,2.0996938775510205,5
Sally Phillips,25,5,16.22222222222222,1.123076923076923,0.648621661041009,117.9,1280.6788837984177,3.3877551020408165,0.7271970012494786,6,3,1,0.0,2.6530612244897958,9.069230769230769,2.5248979591836735,2
Alice Levine,26,6,18.818181818181817,1.3618421052631577,0.6197494132147727,134.66666666666666,1786.1126113185865,4.084745762711864,1.7385808675667886,6,5,0,0.0,2.5762711864406778,10.631578947368421,2.476855639976622,2
Asim Chaudhry,27,6,8.818181818181818,0.610062893081761,0.6526350576640428,139.16666666666666,2243.4352197644353,4.3559322033898304,0.26314277506463646,4,4,1,0.05263157894736842,2.694915254237288,10.50314465408805,2.7769725306838104,4
Liza Tarbuck,28,6,18.727272727272727,1.138121546961326,0.5845397862407322,169.25,2989.0209709853484,1.2033898305084745,0.36541223786268356,0,1,2,-0.05263157894736842,3.0677966101694913,11.220994475138122,3.2018702513150203,3
Russell Howard,29,6,17.545454545454547,1.1352941176470588,0.5718300616242229,157.41666666666666,2569.219189887964,2.542372881355932,0.3837977592645785,1,3,2,-0.07017543859649122,2.8813559322033897,11.111764705882353,2.973348918760959,5
Tim Vine,30,6,14.363636363636363,0.9028571428571428,0.5374467225612568,160.58333333333334,2946.587762137318,2.8135593220338984,0.7618500430910657,4,2,3,0.017543859649122806,2.9661016949152543,11.01142857142857,3.177030976037405,1
James Acaster,31,7,14.363636363636363,0.9575757575757575,0.5867530615073485,148.41666666666666,2394.8466111771695,4.293103448275862,0.2761593341260408,2,4,1,-0.03571428571428571,2.8448275862068964,10.793939393939393,2.920545079824049,3
Jessica Knappett,32,7,18.272727272727273,1.1485714285714286,0.5854563892156864,163.16666666666666,2740.4521403091553,1.9310344827586208,0.8917954815695607,4,2,3,-0.07142857142857142,3.0172413793103448,11.188571428571429,3.1247039281429756,5
Kerry Godliman,33,7,22.454545454545453,1.4034090909090908,0.49702108474156903,160.5,2405.1453626634966,1.603448275862069,0.5496432818073721,4,1,3,0.0,3.0344827586206895,10.943181818181818,2.9246977760004924,4
Phil Wang,34,7,17.0,1.406015037593985,0.6823903741700255,122.83333333333333,1431.7514863258025,4.551724137931035,0.5576694411414989,3,5,0,-0.017857142857142856,2.293103448275862,11.082706766917294,2.2547602202467,1
Rhod Gilbert,35,7,22.181818181818183,1.4610778443113774,0.6255407499720369,154.66666666666666,2353.8323424494642,2.6206896551724137,0.40784780023781225,8,3,1,-0.05357142857142857,2.8793103448275863,11.113772455089821,2.8930450029222676,2
Iain Stirling,36,8,19.90909090909091,1.4038461538461537,0.6567306910187536,138.33333333333334,1829.1170280612253,2.5357142857142856,0.7487244897959181,5,2,2,-0.09259259259259259,2.7857142857142856,10.64102564102564,2.63838004101162,4
Joe Thomas,37,8,13.363636363636363,0.98,0.6431865117435912,137.0,2065.432397959184,3.375,0.8058035714285714,6,3,2,-0.05555555555555555,2.6785714285714284,10.96,2.8067669172932335,5
Lou Sanders,38,8,20.818181818181817,1.396341463414634,0.5838394733456499,150.33333333333334,2172.6823979591836,1.1071428571428572,0.09566326530612249,0,1,1,-0.037037037037037035,2.9285714285714284,11.0,2.877375256322625,1
Paul Sinha,39,8,13.0,1.0514705882352942,0.6642111641550716,123.58333333333333,1543.0685586734694,4.892857142857143,0.20280612244897883,2,5,0,-0.018518518518518517,2.4285714285714284,10.904411764705882,2.41971975393028,2
Sian Gibson,40,8,17.272727272727273,1.3286713286713288,0.6188317312679114,129.16666666666666,1640.224170918367,3.0892857142857144,0.6170280612244899,6,4,0,-0.07407407407407407,2.5535714285714284,10.839160839160838,2.5007177033492822,3
David Baddiel,41,9,14.1,1.1015625,0.6296700524878089,119.45454545454545,1404.8860946745558,4.653846153846154,0.4186390532544367,5,5,0,-0.02,2.4615384615384617,10.265625,2.4932980449073683,2
Ed Gamble,42,9,18.6,1.1137724550898203,0.4859900307770739,156.63636363636363,2494.0543639053253,1.4038461538461537,0.4715236686390539,4,1,3,-0.1,3.2115384615384617,10.317365269461078,3.3239562878852564,4
Jo Brand,43,9,13.8,0.8961038961038961,0.7283155788472702,146.0,2372.0780325443784,3.8653846153846154,0.7703402366863905,3,4,1,-0.04,2.9615384615384617,10.428571428571429,3.2362759327243236,3
Katy Wix,44,9,15.5,0.9872611464968153,0.5643685915930844,149.0,2290.125369822486,2.730769230769231,0.8890532544378694,6,3,2,-0.06,3.019230769230769,10.439490445859873,3.1829164176555964,1
Rose Matafeo,45,9,18.3,1.14375,0.51720402163943,148.8181818181818,2237.2082100591715,2.3461538461538463,0.918639053254438,4,2,3,-0.08,3.076923076923077,10.23125,3.148680952787501,5
Daisy May Cooper,46,10,13.4,0.8481012658227848,0.6539539925614932,145.8181818181818,2292.998628257887,1.4444444444444444,0.5802469135802476,6,2,3,0.0,2.925925925925926,10.151898734177216,3.0572898799313895,1
Johnny Vegas,47,10,12.3,0.8848920863309353,0.6670504217850887,131.45454545454547,1896.458504801098,2.9814814814814814,0.6107681755829903,4,4,0,0.0,2.574074074074074,10.402877697841726,2.7843339050886224,3
Katherine Parkinson,48,10,11.1,0.940677966101695,0.7681538436355702,110.36363636363636,1327.4379286694102,4.851851851851852,0.12620027434842274,0,5,0,0.0,2.185185185185185,10.288135593220339,2.328454354869449,4
Mawaan Rizwan,49,10,11.7,0.7748344370860927,0.6396473415463405,137.45454545454547,2092.1796982167352,3.7962962962962963,0.4585048010973931,4,3,2,0.0,2.7962962962962963,10.013245033112582,2.9276920144844674,5
Richard Herring,50,10,14.5,0.8950617283950617,0.5844345865947963,146.54545454545453,2208.469135802469,1.9259259259259258,0.5871056241426617,6,1,3,0.0,3.0,9.950617283950617,3.009186201639032,2
Charlotte Ritchie,51,11,8.1,0.648,0.67404450891614,108.36363636363636,1305.594674556213,4.980769230769231,0.018860946745562147,1,5,0,0.06,2.4038461538461537,9.536,2.400153675403398,5
Jamali Maddix,52,11,10.1,0.7372262773722628,0.6184597057962121,125.18181818181819,1769.3254437869823,3.7884615384615383,0.3206360946745559,6,4,1,-0.02,2.6346153846153846,10.05109489051095,2.7961239648254073,4
Lee Mack,53,11,18.0,1.1920529801324504,0.6416326594154365,134.8181818181818,1716.9774408284025,2.576923076923077,0.551775147928994,3,3,1,0.0,2.9038461538461537,9.821192052980132,2.749295654401093,2
Mike Wozniak,54,11,20.3,1.326797385620915,0.5826532532589656,135.27272727272728,1674.9571005917157,2.423076923076923,0.5902366863905326,9,2,2,-0.02,2.9423076923076925,9.72549019607843,2.716468880730812,1
Sarah Kendall,55,11,19.5,1.2264150943396226,0.4731215420089374,145.8181818181818,2038.673076923077,1.2307692307692308,0.33136094674556177,0,1,2,-0.06,3.0576923076923075,10.08805031446541,2.9869375907111757,3
Alan Davies,56,12,17.2,1.0683229813664596,0.4914295762696269,144.9090909090909,2176.7520184544405,2.6862745098039214,0.8819684736639755,15,3,1,0.04081632653061224,3.156862745098039,9.900621118012422,3.167239819004525,2
Desiree Burch,57,12,18.0,1.1180124223602483,0.6221730170504923,140.45454545454547,1940.0930411380239,2.843137254901961,1.6616685890042275,6,4,0,-0.02040816326530612,3.156862745098039,9.596273291925465,2.9828054298642535,1
Guz Khan,58,12,16.8,1.0059880239520957,0.5675686520274389,146.8181818181818,2262.9004229142643,2.5098039215686274,1.4655901576316779,6,2,3,0.061224489795918366,3.2745098039215685,9.67065868263473,3.227692307692308,5
Morgana Robinson,59,12,18.5,1.1011904761904763,0.4857668038834087,148.1818181818182,2240.78738946559,2.0392156862745097,0.8612072279892342,3,1,3,-0.02040816326530612,3.2941176470588234,9.702380952380953,3.214027149321267,4
Victoria Coren Mitchell,60,12,14.4,1.1900826446280992,0.7783527059815606,109.54545454545455,1212.8612072279896,4.921568627450981,0.15071126489811643,0,5,0,0.0,2.372549019607843,9.958677685950413,2.3592760180995476,3
Ardal O'Hanlon,61,13,12.6,0.8235294117647058,0.5989225235020105,139.0909090909091,2038.5613854595342,4.148148148148148,0.3113854595336073,5,4,1,0.0,2.8333333333333335,10.0,2.8932723461025343,5
Bridget Christie,62,13,17.6,1.1210191082802548,0.6661153683580934,142.54545454545453,1881.0617283950621,2.1666666666666665,0.6574074074074071,3,3,1,0.038461538461538464,2.9074074074074074,9.987261146496815,2.766075852868306,1
Chris Ramsey,63,13,23.4,1.3764705882352941,0.5343559976082713,148.9090909090909,1946.0109739368997,1.6296296296296295,0.45541838134430734,3,2,1,0.0,3.1481481481481484,9.635294117647058,2.8196683819325323,2
Judi Love,64,13,12.0,0.8450704225352113,0.6392566601639557,128.54545454545453,1694.0603566529487,4.7407407407407405,0.229080932784637,4,5,0,-0.038461538461538464,2.6296296296296298,9.95774647887324,2.635029540689918,4
Sophie Duker,65,13,18.3,1.0578034682080926,0.500359054480595,153.72727272727272,2352.8998628257887,2.314814814814815,0.9564471879286697,3,1,3,0.019230769230769232,3.2037037037037037,9.77456647398844,3.099523537259387,3
Dara Ó Briain,66,14,21.0,1.141304347826087,0.48652688733337096,165.45454545454547,2661.179779280882,1.2075471698113207,0.4286222855108586,4,1,3,0.0784313725490196,3.4716981132075473,9.891304347826088,3.360990162876955,2
Fern Brady,67,14,18.0,1.25,0.6040469229995177,134.8181818181818,1775.970808116767,3.490566037735849,0.8914204343182631,2,4,1,-0.058823529411764705,2.7169811320754715,10.29861111111111,2.750685373326884,1
John Kearns,68,14,9.9,0.6875,0.5998006356024774,132.54545454545453,2021.179779280883,4.377358490566038,0.6877892488430046,6,5,0,0.0,2.7169811320754715,10.125,2.9283986453797777,5
Munya Chawawa,69,14,17.1,1.14,0.5813394495091104,135.0,1802.8928444286219,3.849056603773585,0.8828764684941264,9,3,2,-0.0196078431372549,2.830188679245283,9.9,2.7705208837284307,4
Sarah Millican,70,14,19.0,1.0919540229885059,0.4559467464436483,161.0,2684.239943040227,2.0754716981132075,0.18298326806692727,3,2,1,-0.0196078431372549,3.2830188679245285,10.17816091954023,3.38114820190292,3
Frankie Boyle,71,15,14.8,0.9866666666666667,0.6186005711819759,140.1818181818182,2054.6528258362164,3.5294117647058822,0.2883506343713954,3,4,1,-0.02040816326530612,2.9411764705882355,10.28,3.075656108597285,3
Ivo Graham,72,15,12.7,0.9694656488549618,0.6820003005860168,120.9090909090909,1491.823144944252,4.666666666666667,0.3398692810457515,1,5,0,-0.04081632653061224,2.5686274509803924,10.15267175572519,2.6180090497737556,5
Jenny Eclair,73,15,16.4,1.0789473684210527,0.6390051348204251,138.9090909090909,1940.600538254517,2.392156862745098,1.2579777008842752,3,3,1,-0.061224489795918366,2.980392156862745,10.052631578947368,2.983438914027149,4
Kiell Smith-Bynoe,74,15,18.6,1.1772151898734178,0.6557890555437276,148.45454545454547,2327.068819684737,3.0392156862745097,1.8023836985774733,3,2,3,-0.10204081632653061,3.0980392156862746,10.335443037974683,3.2589140271493213,2
Mae Martin,75,15,20.3,1.1666666666666667,0.5980878501493193,161.36363636363637,2728.2545174932725,1.3725490196078431,0.23375624759707808,1,1,1,-0.08163265306122448,3.411764705882353,10.201149425287356,3.5399095022624434,1
Julian Clary,76,16,19.8,1.2774193548387096,0.611849688749867,139.0,1783.7038091847628,1.7547169811320755,0.18511925952296218,1,2,0,-0.058823529411764705,2.9245283018867925,9.864516129032259,2.7518948556684406,1
Lucy Beaumont,77,16,12.9,1.0,0.6935277285688385,117.45454545454545,1477.0430758276973,4.264150943396227,0.533997864008544,6,5,0,-0.0196078431372549,2.4339622641509435,10.015503875968992,2.5033865505563617,5
Sam Campbell,78,16,20.7,1.2857142857142858,0.5753980411437745,146.72727272727272,2081.9786400854396,1.2641509433962264,0.23211107155571362,1,1,2,0.0,3.0377358490566038,10.024844720496894,2.976777939042089,3
Sue Perkins,79,16,16.1,1.1751824817518248,0.7341483772659948,123.63636363636364,1482.5446778212897,3.4716981132075473,0.4001423994304027,7,4,1,0.0,2.5849056603773586,9.927007299270073,2.509111433639735,2
Susan Wokoma,80,16,16.8,1.20863309352518,0.6251132085245599,123.63636363636364,1479.132075471698,4.245283018867925,0.713421146315415,4,3,2,-0.0392156862745098,2.6226415094339623,9.784172661870503,2.5035478148685697,4
Joanne McNally,81,17,17.4,1.0175438596491229,0.5107175274777838,153.1818181818182,2356.7455621301783,2.0,0.38461538461538464,4,2,3,-0.04,3.2884615384615383,9.853801169590643,3.2318791086826604,5
John Robins,82,17,18.2,0.9479166666666666,0.42338336318544956,172.27272727272728,3049.202292899408,1.3461538461538463,0.45710059171597744,0,1,2,-0.02,3.6923076923076925,9.869791666666666,3.6751899598736446,2
Nick Mohammed,83,17,11.3,0.8625954198473282,0.6442585287910835,118.0909090909091,1505.6331360946742,4.6923076923076925,0.21301775147929025,1,5,0,0.1,2.519230769230769,9.916030534351146,2.5802953982754206,4
Sophie Willan,84,17,8.8,0.6111111111111112,0.6552847840047471,125.45454545454545,1828.3413461538462,4.269230769230769,0.23520710059171562,0,4,1,0.08,2.769230769230769,9.583333333333334,2.841757022112183,3
Steve Pemberton,85,17,18.9,1.2352941176470589,0.5632682620506272,138.45454545454547,1805.0014792899408,2.6923076923076925,0.40532544378698265,4,3,0,0.04,2.9423076923076925,9.954248366013072,2.823358661316486,1
Andy Zaltzman,86,18,10.4,0.65,0.5766281297335398,144.72727272727272,2367.166789940828,2.826923076923077,1.9123520710059172,6,1,4,-0.06,3.076923076923077,9.95,3.234739178690343,5
Babatunde Aléshé,87,18,9.3,0.6326530612244898,0.6857939161192536,135.1818181818182,2075.168639053254,3.5,1.0192307692307692,7,4,1,-0.02,2.826923076923077,10.115646258503402,3.027917698283958,4
Emma Sidi,88,18,14.6,0.9605263157894737,0.6032575466498763,134.9090909090909,1904.8590976331357,3.480769230769231,0.6342455621301782,6,3,2,-0.08,2.923076923076923,9.763157894736842,2.9004098010757278,2
Jack Dee,89,18,18.3,1.1656050955414012,0.6213048501534589,142.1818181818182,1963.4419378698221,1.3653846153846154,0.3088017751479291,1,2,1,0.0,3.019230769230769,9.961783439490446,2.9489883035942968,3
Rosie Jones,90,18,17.7,1.2919708029197081,0.6533152543508213,123.54545454545455,1427.0384615384614,3.826923076923077,2.258505917159763,2,5,0,-0.04,2.6346153846153846,9.91970802919708,2.5128489712285496,1
