series,episode,series_code,episode_code,episode_title,imdb_rating,episode_id,imdb_rating_relative,series_geom,episode_geom,num_tasks,mean_mu,mean_var,std_mu,std_var,total_variance_explained
1,1,S1,E1,Melon Buffet,8.0,1_1,-0.7925939239012206,1,1,5,3.400000000000001,1.86,0.66332495807108,1.078424777163433,0.6329922121727836
1,2,S1,E2,The Pie Whisperer,8.3,1_2,1.2455047375590576,1,2,5,2.96,1.9800000000000004,0.26076809620810604,0.9884331034521255,0.6670185687180783
1,3,S1,E3,The Poet and the Egg,8.2,1_3,0.5661385170722901,1,3,5,3.2800000000000002,1.86,0.5403702434442518,1.2320714265009152,0.6015384974805819
1,4,S1,E4,Down an Octave,8.2,1_4,0.5661385170722901,1,4,5,2.64,2.46,0.5727128425310541,1.3704014010500722,0.6422303415317286
1,5,S1,E5,Little Denim Shorts,8.1,1_5,-0.1132277034144652,1,5,5,2.84,2.1399999999999997,0.4774934554525329,0.7765307463326871,0.733748479316011
1,6,S1,E6,The Last Supper,7.9,1_6,-1.471960144387976,1,6,5,3.7600000000000002,1.2200000000000002,0.5549774770204641,0.7854934754662193,0.6083290795630164
2,1,S2,E1,Fear of Failure,8.3,2_1,1.4142135623731016,2,1,5,2.7199999999999998,2.48,0.2683281572999748,0.6260990336999411,0.7984291463642932
2,2,S2,E2,Pork Is a Sausage,8.0,2_2,-0.7071067811865445,2,2,5,3.28,1.9799999999999998,0.6870225614927068,1.1777096416349828,0.6270367528075842
2,3,S2,E3,A Pistachio Éclair,8.0,2_3,-0.7071067811865445,2,3,5,2.68,1.44,1.0639548862616308,1.3992855319769444,0.5071698438858149
2,4,S2,E4,Welcome to Rico Face,8.0,2_4,-0.7071067811865445,2,4,5,2.8400000000000003,2.3,0.260768096208106,0.37416573867739417,0.8600813205906784
2,5,S2,E5,There's Strength in Arches,8.2,2_5,0.7071067811865445,2,5,5,3.3199999999999994,1.2400000000000002,0.9654014708917736,0.9762171889492623,0.5595119495431313
3,1,S3,E1,Pea in a Haystack,8.1,3_1,0.0,3,1,5,3.28,2.3000000000000003,0.22803508501982758,0.7176350047203661,0.7621862804488289
3,2,S3,E2,The Dong and the Gong,8.2,3_2,1.4142135623730951,3,2,5,3.04,2.2,0.7402702209328699,0.9848857801796104,0.6907626055826503
3,3,S3,E3,Little Polythene Grief Cave,8.1,3_3,0.0,3,3,5,3.3600000000000003,2.1599999999999997,0.3577708763999663,1.0945318634009702,0.6636899224402769
3,4,S3,E4,A Very Nuanced Character,8.0,3_4,-1.4142135623730951,3,4,5,3.3599999999999994,2.3600000000000003,0.9633275663033836,1.4808781178746615,0.6144428246803881
3,5,S3,E5,The F.I.P.,8.1,3_5,0.0,3,5,5,3.0,1.64,0.7483314773547881,1.0064790112068907,0.6196912928669327
4,1,S4,E1,A Fat Bald White Man,8.2,4_1,0.2121320343559523,4,1,5,3.2399999999999998,2.3200000000000003,0.32863353450309973,0.7155417527999328,0.7642787314192174
4,2,S4,E2,Look at Me,8.2,4_2,0.2121320343559523,4,2,5,2.6399999999999997,2.0200000000000005,0.6841052550594828,0.7259476565152613,0.7356294630042135
4,3,S4,E3,Hollowing Out a Baguette,8.3,4_3,0.7778174593051987,4,3,5,2.6799999999999997,2.04,0.5761944116355172,0.8820430828479978,0.6981416571078392
4,4,S4,E4,Friendship Is Truth,7.9,4_4,-1.4849242404917566,4,4,5,3.04,2.5800000000000005,0.26076809620810604,1.4686728703152383,0.6372458537997703
4,5,S4,E5,Meat,8.2,4_5,0.2121320343559523,4,5,5,3.08,1.46,0.7293833011524187,0.5727128425310541,0.7182519682327906
4,6,S4,E6,Spatchcock It,7.9,4_6,-1.4849242404917566,4,6,5,2.84,2.5200000000000005,0.38470768123342686,0.4658325879540847,0.8439856977134553
4,7,S4,E7,No Stars for Naughty Boys,8.2,4_7,0.2121320343559523,4,7,5,3.3600000000000003,2.0199999999999996,0.6066300355241241,0.6534523701081815,0.7555773286203189
4,8,S4,E8,Tony Three Pies,8.4,4_8,1.343502884254435,4,8,5,2.56,1.7,0.8988882021697693,1.0931605554537724,0.6086295314032962
5,1,S5,E1,Dignity Intact,7.9,5_1,-0.6585953658489165,5,1,5,3.04,2.44,0.7797435475847172,1.277888884058391,0.6562864238525958
5,2,S5,E2,The Leprechaun or the Lesbian,7.9,5_2,-0.6585953658489165,5,2,5,2.56,1.6599999999999997,0.3847076812334269,1.192895636675732,0.5818649580656496
5,3,S5,E3,Phoenix,8.0,5_3,-0.3486681348611927,5,3,5,2.96,2.4799999999999995,0.8173126696681019,1.2949903474543736,0.6569553221963501
5,4,S5,E4,Residue Around the Hoof,7.8,5_4,-0.968522596836643,5,4,5,2.68,1.9,0.41472882706655445,0.7516648189186453,0.716530983269154
5,5,S5,E5,A Wind-Dried Puffin,8.3,5_5,0.5811135581019842,5,5,5,3.16,2.3200000000000003,0.589915248150105,0.8584870412533903,0.7299070186188777
5,6,S5,E6,Spoony Neeson,8.2,5_6,0.2711863271142549,5,6,5,3.3199999999999994,1.8800000000000001,0.30331501776206204,1.2597618822618821,0.5987715216943934
5,7,S5,E7,Boing Boing,8.0,5_7,-0.3486681348611927,5,7,5,2.6799999999999997,1.92,0.807465169527454,0.8613942186943212,0.6903012838292703
5,8,S5,E8,Their Water's So Delicious,8.8,5_8,2.130749713040609,5,8,5,2.9199999999999995,2.62,0.6870225614927068,0.920326029187483,0.7400448372268412
6,1,S6,E1,"The Old, Soft, Curved Padlock",7.5,6_1,-0.6961432213383801,6,1,5,2.84,2.0799999999999996,0.6985699678629192,0.9257429448826494,0.6920086108964343
6,2,S6,E2,Tarpeters,7.6,6_2,-0.1988980632395346,6,2,5,2.7600000000000002,2.0799999999999996,0.21908902300206645,1.0158740079360236,0.6718619668203833
6,3,S6,E3,One Warm Prawn,7.4,6_3,-1.1933883794372255,6,3,5,3.12,2.3600000000000003,0.41472882706655445,1.2501999840025593,0.6537033988304197
6,4,S6,E4,BMXing!,7.5,6_4,-0.6961432213383801,6,4,5,2.92,2.8600000000000003,0.5761944116355173,0.4615192303685731,0.8610517662674015
6,5,S6,E5,H,7.8,6_5,0.7955922529581607,6,5,5,3.4799999999999995,1.8,0.8438009243891595,1.1895377253370318,0.6020997777497769
6,6,S6,E6,We Met at Mealtimes,7.6,6_6,-0.1988980632395346,6,6,5,2.4,1.9,0.31622776601683783,1.2308533625091171,0.6068632989177458
6,7,S6,E7,Roadkill Doused in Syrup,7.8,6_7,0.7955922529581607,6,7,5,2.84,2.56,0.32863353450309973,0.9813256340277676,0.7228931379259677
6,8,S6,E8,What Kind of Pictures?,7.4,6_8,-1.1933883794372255,6,8,5,3.44,2.2600000000000002,0.3847076812334269,1.016366075781753,0.6897886096140083
6,9,S6,E9,The Bubble Brothers,7.8,6_9,0.7955922529581607,6,9,5,3.0799999999999996,2.04,0.593295878967653,0.7231873892705818,0.7382778337514465
6,10,S6,E10,He Was a Different Man,8.0,6_10,1.790082569155856,6,10,5,3.2400000000000007,1.6800000000000002,0.9208691546577072,1.0009995004993757,0.6266319705345246
7,1,S7,E1,The Mean Bean,8.3,7_1,0.0,7,1,5,3.0,1.56,0.6633249580710799,0.5458937625582473,0.7407781093880569
7,2,S7,E2,My Eyes Are Circles,8.1,7_2,-1.000000000000005,7,2,5,3.2399999999999998,1.8,0.654217089351845,1.3285330255586423,0.5753495281318264
7,3,S7,E3,Twelve Blush Majesty Two,8.3,7_3,0.0,7,3,5,3.0,2.5599999999999996,0.20000000000000018,0.9607288899580356,0.727122161351797
7,4,S7,E4,OLLIE,8.5,7_4,0.9999999999999966,7,4,5,3.2,2.4,0.316227766016838,1.044030650891055,0.69685790960631
7,5,S7,E5,Lotta Soup,8.0,7_5,-1.5000000000000038,7,5,5,2.3600000000000003,1.9600000000000002,0.654217089351845,0.23021728866442678,0.89488837940604
7,6,S7,E6,A Coquettish Fascinator,8.2,7_6,-0.5000000000000071,7,6,5,2.5599999999999996,2.0200000000000005,0.4335896677735761,1.5817711591756882,0.5608351865592436
7,7,S7,E7,The Perfect Stuff,8.4,7_7,0.4999999999999983,7,7,5,3.3200000000000003,1.32,0.7429670248402686,1.1122050170719426,0.5427174069351718
7,8,S7,E8,Mother Honks Her Horn,8.2,7_8,-0.5000000000000071,7,8,5,3.3200000000000003,1.6600000000000001,0.7155417527999328,1.20124934963562,0.5801661432308935
7,9,S7,E9,The Pendulum Draws the Eye,8.3,7_9,0.0,7,9,5,3.12,1.78,0.3898717737923585,0.4969909455915671,0.7817334554826488
7,10,S7,E10,I Can Hear It Gooping,8.7,7_10,1.9999999999999931,7,10,5,3.0,1.8,1.0488088481701516,1.0198039027185568,0.6383422614120897
8,1,S8,E1,Hello,7.7,8_1,-0.1519109050625533,8,1,5,3.0799999999999996,2.5200000000000005,0.4147288270665544,0.6723094525588644,0.7893971550847114
8,2,S8,E2,A Novel About Russian Gulags,7.6,8_2,-0.9114654303753064,8,2,5,3.2,2.7800000000000002,0.469041575982343,1.3590437814875576,0.6716527166090709
8,3,S8,E3,Stuck in a Mammal Groove,7.6,8_3,-0.9114654303753064,8,3,5,3.0,1.64,0.6782329983125267,0.8294576541331089,0.664113432864559
8,4,S8,E4,The Barrel Dad,7.7,8_4,-0.1519109050625533,8,4,5,2.56,2.3200000000000003,0.4335896677735759,1.2255610959882826,0.6543393096864202
8,5,S8,E5,Stay Humble,7.6,8_5,-0.9114654303753064,8,5,5,2.6799999999999997,2.2800000000000002,0.9444575162494075,1.725398504693916,0.5692317499315172
8,6,S8,E6,Rock 'n' Roll Umlaut,7.7,8_6,-0.1519109050625533,8,6,5,2.7599999999999993,2.1199999999999997,0.5549774770204642,1.1099549540409286,0.6563559028424568
8,7,S8,E7,This Is Trevor,7.7,8_7,-0.1519109050625533,8,7,5,3.56,1.52,0.6228964600958976,1.0871982339941506,0.5830013154279431
8,8,S8,E8,Aquatic Sewing Machine,7.9,8_8,1.367198145562946,8,8,5,3.4,1.78,0.6480740698407861,0.8927485648266258,0.6659810890649431
8,9,S8,E9,I've Been a Bit Ill,7.7,8_9,-0.1519109050625533,8,9,5,2.8,1.9400000000000002,0.9273618495495703,1.0039920318408908,0.6589691748543591
8,10,S8,E10,Clumpy Swayey Clumsy Man,8.0,8_10,2.1267526708756925,8,10,5,2.88,2.18,0.3898717737923586,1.1300442469213317,0.6586014679494437
9,1,S9,E1,Join Our Cult,7.8,9_1,-0.7108555511620773,9,1,5,2.9200000000000004,2.24,0.5019960159204453,0.43931765272977585,0.8360337557279985
9,2,S9,E2,Butter in the Microwave,8.2,9_2,1.4763922985673903,9,2,5,3.0800000000000005,2.4200000000000004,0.26832815729997483,0.8757853618324527,0.7342711172958432
9,3,S9,E3,Five Miles Per Day,7.8,9_3,-0.7108555511620773,9,3,5,3.28,1.8199999999999998,0.7293833011524189,1.3773162309360911,0.569227398400674
9,4,S9,E4,Quisps,8.1,9_4,0.9295803361350246,9,4,5,2.7600000000000002,2.72,0.5549774770204643,0.9391485505499116,0.7433423274360444
9,5,S9,E5,Another Spoon,7.9,9_5,-0.1640435887297067,9,5,5,3.04,1.28,0.606630035524124,0.5630275304103701,0.6945094302063921
9,6,S9,E6,"Bready, Bready, Bready",7.7,9_6,-1.257667513594443,9,6,5,2.8,2.4200000000000004,0.529150262212918,1.0034938963441682,0.706880185352232
9,7,S9,E7,A Cuddle,7.8,9_7,-0.7108555511620773,9,7,5,3.28,1.36,0.7694153624668538,0.6465291950097847,0.6777872972804505
9,8,S9,E8,Shaqinahat,7.8,9_8,-0.7108555511620773,9,8,5,3.44,2.0599999999999996,0.6693280212272605,1.2700393694685217,0.6186113049854958
9,9,S9,E9,Don't Like Them Go Bang,8.0,9_9,0.3827683737026588,9,9,5,3.8,2.1799999999999997,0.469041575982343,0.9576011695899291,0.6947983131600236
9,10,S9,E10,Think About the Spirit,8.2,9_10,1.4763922985673903,9,10,5,3.12,2.36,0.6099180272790763,1.3390294993016394,0.6380051849939443
10,1,S10,E1,God's Haemorrhoid,7.6,10_1,0.6076436202502075,10,1,5,2.68,1.7400000000000002,1.0158740079360236,1.0737783756436894,0.6183855896617841
10,2,S10,E2,A Documentary About Despots,7.4,10_2,-0.9114654303752876,10,2,5,3.3600000000000003,2.1400000000000006,0.21908902300206645,1.4152738250953416,0.6019226943631021
10,3,S10,E3,Point of Swivel,7.7,10_3,1.3671981455629616,10,3,5,2.6399999999999997,1.4600000000000002,1.0139033484509261,0.74027022093287,0.6635548607211481
10,4,S10,E4,Toshwash,7.4,10_4,-0.9114654303752876,10,4,5,2.6399999999999997,1.8199999999999998,0.7536577472566707,0.9984988733093293,0.6457338043435349
10,5,S10,E5,I Hate Your Trainers,7.5,10_5,-0.15191090506254,10,5,5,3.6,2.02,0.28284271247461906,0.9884331034521253,0.6714458758222295
10,6,S10,E6,Hippopotamus,7.7,10_6,1.3671981455629616,10,6,5,2.8000000000000003,2.4200000000000004,0.4242640687119285,0.7463243262818114,0.7642931521300556
10,7,S10,E7,Legit Glass,7.5,10_7,-0.15191090506254,10,7,5,3.0799999999999996,1.78,0.5585696017507576,0.8757853618324528,0.6702348862905948
10,8,S10,E8,Moments of Silence,7.3,10_8,-1.6710199556880416,10,8,5,3.4,1.98,0.4690415759823429,0.9523654760647301,0.6752227906656383
10,9,S10,E9,Air Horn Andy,7.5,10_9,-0.15191090506254,10,9,5,3.04,2.2,0.38470768123342697,0.9695359714832659,0.6941079135222603
10,10,S10,E10,Dog Meat Trifle,7.6,10_10,0.6076436202502075,10,10,5,3.0799999999999996,2.2399999999999998,0.5019960159204453,1.1545561917897285,0.659880076640886
11,1,S11,E1,It's Not Your Fault,7.8,11_1,-0.5359422007578734,11,1,5,3.2000000000000006,2.3000000000000003,0.7071067811865476,0.5612486080160911,0.803844864635777
11,2,S11,E2,The Lure of the Treacle Puppies,7.8,11_2,-0.5359422007578734,11,2,5,2.88,1.7599999999999998,0.5215361924162119,1.0990905331227268,0.6155803671168505
11,3,S11,E3,Run Up a Tree to the Moon,7.5,11_3,-1.6078266022736167,11,3,5,2.96,2.7399999999999998,0.5549774770204644,0.7127411872482183,0.7935723679838678
11,4,S11,E4,Premature Conker,8.0,11_4,0.1786474002526233,11,4,5,2.48,2.4,0.6418722614352484,1.0246950765959597,0.7007923176581097
11,5,S11,E5,Slap and Tong,8.0,11_5,0.1786474002526233,11,5,5,3.2,1.1,0.9486832980505139,0.33911649915626346,0.7643578547288679
11,6,S11,E6,Absolute Casserole,8.5,11_6,1.9651214027788635,11,6,5,3.04,1.6,0.589915248150105,0.7416198487095664,0.6832876826192508
11,7,S11,E7,You've Got No Chutzpah,7.9,11_7,-0.1786474002526233,11,7,5,3.04,1.7399999999999998,0.45607017003965516,0.6268971207462991,0.7351396834059969
11,8,S11,E8,An Orderly Species,7.9,11_8,-0.1786474002526233,11,8,5,3.3600000000000003,1.9200000000000006,0.8763560920082659,1.0639548862616313,0.6434413632859649
11,9,S11,E9,Mr. Octopus and Pottyhands,7.8,11_9,-0.5359422007578734,11,9,5,3.0799999999999996,1.9200000000000004,0.4147288270665544,0.5674504383644443,0.7718746755261762
11,10,S11,E10,Activate Jamali,8.3,11_10,1.25053180176837,11,10,5,2.68,1.78,0.4381780460041329,1.0329569206893385,0.6327860860250203
12,1,S12,E1,An Imbalance in the Poppability,8.1,12_1,0.5924627800537244,12,1,5,3.04,2.04,0.45607017003965516,0.8820430828479978,0.6981416571078392
12,2,S12,E2,Oatmeal and Death,7.7,12_2,-0.80156729066092,12,2,5,2.84,1.2800000000000002,0.8294576541331089,0.6906518659932803,0.6495312653079054
12,3,S12,E3,The End of the Franchise,7.5,12_3,-1.4985823260182438,12,3,5,2.88,3.0200000000000005,0.3346640106136304,1.2296340919151518,0.7106494193807162
12,4,S12,E4,The Customised Inhaler,8.0,12_4,0.2439552623750641,12,4,5,3.2800000000000002,2.5,0.7429670248402684,1.632482771731451,0.6049631996293928
12,5,S12,E5,Croissants Is Croissants,8.2,12_5,0.9409702977323848,12,5,5,3.1599999999999997,1.28,0.9423375191511797,0.8757853618324527,0.5937511324930693
12,6,S12,E6,A Chair in a Sweet,7.7,12_6,-0.80156729066092,12,6,5,3.04,2.46,0.6985699678629191,0.5029910535983717,0.8302421288152322
12,7,S12,E7,The Integrity of the Product,7.9,12_7,-0.1045522553035962,12,7,5,2.8,3.0,0.5477225575051662,0.7999999999999998,0.7894736842105263
12,8,S12,E8,A Couple of Ethels,7.8,12_8,-0.4530597729822597,12,8,5,3.2400000000000007,2.22,0.7127411872482187,0.957601169589929,0.6986402262328258
12,9,S12,E9,Nothing Matters,7.9,12_9,-0.1045522553035962,12,9,5,2.68,1.9200000000000004,0.5019960159204453,0.36331804249169913,0.8408815435561383
12,10,S12,E10,Caring Uncle Minpict,8.5,12_10,1.986492850768372,12,10,5,3.0,2.3400000000000003,0.6782329983125267,1.4117365193264644,0.6237111769299012
13,1,S13,E1,The Noise That Blue Makes,8.1,13_1,0.5872801368884091,13,1,5,3.1599999999999997,1.8800000000000001,0.5366563145999496,0.9338094023943002,0.6681333847275825
13,2,S13,E2,Birdy Hand Finger,7.8,13_2,-0.7679817174694675,13,2,5,2.92,2.2800000000000002,0.4604345773288535,1.103177229641729,0.6739227197510569
13,3,S13,E3,I Think I've Got This,7.8,13_3,-0.7679817174694675,13,3,5,3.4400000000000004,1.3800000000000001,0.4774934554525329,0.9257429448826495,0.5985055719514453
13,4,S13,E4,Shoe Who,8.2,13_4,1.0390340883410332,13,4,5,3.28,2.7600000000000002,0.5403702434442518,1.0644247272588139,0.7216771663272482
13,5,S13,E5,Having a Little Chuckle,7.9,13_5,-0.3162277660168393,13,5,5,3.2,1.8,0.6324555320336758,0.8602325267042626,0.6766325807729309
13,6,S13,E6,The 75th Question,8.1,13_6,0.5872801368884091,13,6,5,3.5199999999999996,1.86,0.6723094525588645,0.7829431652425354,0.7037608770634737
13,7,S13,E7,Heg,7.8,13_7,-0.7679817174694675,13,7,5,2.92,1.36,0.5761944116355173,0.5128352561983235,0.7261717203896887
13,8,S13,E8,You Tuper Super,7.7,13_8,-1.2197356689220915,13,8,5,2.92,2.08,0.7823042886243179,0.7981227975693966,0.7226932783259216
13,9,S13,E9,It Might Be Wind,7.9,13_9,-0.3162277660168393,13,9,5,2.68,1.9000000000000004,0.8786353054595519,0.95655632348545,0.6651365437393861
13,10,S13,E10,The House Queens,8.4,13_10,1.9425419912462896,13,10,5,3.2399999999999998,1.46,0.6841052550594827,0.4219004621945798,0.7758114891461474
14,1,S14,E1,"The Chassis, the Wings",7.7,14_1,-1.3058572501980197,14,1,5,3.1600000000000006,1.56,1.2280065146407002,1.866279721799495,0.4553043320061102
14,2,S14,E2,Enormous Hugeness,8.2,14_2,1.414678687714524,14,2,5,2.5200000000000005,2.04,0.5215361924162117,0.8049844718999244,0.7170513653586504
14,3,S14,E3,Dafty in the Middle,8.2,14_3,1.414678687714524,14,3,5,2.8,1.8399999999999999,0.6,0.7893034904268447,0.6998051030241822
14,4,S14,E4,Crumbs in My Bralette,7.7,14_4,-1.3058572501980197,14,4,5,3.12,2.7600000000000002,0.6099180272790763,1.2054044964243331,0.6960197887728062
14,5,S14,E5,Chip Biffington,7.8,14_5,-0.7617500626155119,14,5,5,3.0,2.6799999999999997,0.4690415759823429,0.8197560612767679,0.7657676572527435
14,6,S14,E6,Long-Legged Lobster,7.9,14_6,-0.2176428750329992,14,6,5,3.44,2.2399999999999998,0.5176871642217914,1.0573551910309043,0.6793323346216982
14,7,S14,E7,The System of Endless Plates,8.0,14_7,0.3264643125495085,14,7,5,2.88,1.6800000000000002,0.593295878967653,0.5263078946776306,0.761453106365043
14,8,S14,E8,The One That Bats Do,7.9,14_8,-0.2176428750329992,14,8,5,3.04,1.8799999999999997,1.0334408546211051,1.430734077318353,0.5678498955502862
14,9,S14,E9,A New Business End,7.9,14_9,-0.2176428750329992,14,9,5,2.8,1.92,0.6164414002968975,0.7529940238806682,0.71829565754604
14,10,S14,E10,Did I Meet These Potatoes Before?,8.1,14_10,0.8705715001320163,14,10,5,2.9200000000000004,1.78,0.8438009243891595,0.7529940238806682,0.7027257005813835
15,1,S15,E1,The Curse of Politeness,7.7,15_1,-0.3721042037676251,15,1,5,3.0799999999999996,2.1000000000000005,0.7014271166700072,0.6442049363362563,0.7652489696355099
15,2,S15,E2,Trapped in a Loveless Marriage,7.7,15_2,-0.3721042037676251,15,2,5,3.0,1.9600000000000002,0.20000000000000018,0.8142481194328914,0.7064977304195347
15,3,S15,E3,I Love to Squander Promise,7.6,15_3,-1.302364713186692,15,3,5,3.1599999999999997,2.1,0.26076809620810604,0.6480740698407861,0.7641715421890599
15,4,S15,E4,How Heavy Is the Water?,7.9,15_4,1.4884168150705004,15,4,5,3.0799999999999996,2.04,0.7429670248402684,0.9235799911215055,0.6883566517899199
15,5,S15,E5,Old Honkfoot,7.7,15_5,-0.3721042037676251,15,5,5,3.08,1.7,0.8318653737234168,0.6442049363362563,0.7251925689811574
15,6,S15,E6,It's My Milk Now,7.6,15_6,-1.302364713186692,15,6,5,3.04,1.7600000000000002,0.8876936408468858,1.016366075781753,0.6339221673080088
15,7,S15,E7,Schrödinger's Egg,7.7,15_7,-0.3721042037676251,15,7,5,3.28,1.8800000000000003,0.6099180272790763,0.5118593556827891,0.7859993922858932
15,8,S15,E8,100% Bosco,7.8,15_8,0.5581563056514335,15,8,5,3.28,3.0000000000000004,0.5019960159204453,1.6170961628796232,0.6497590464152124
15,9,S15,E9,A Show About Pedantry,7.9,15_9,1.4884168150705004,15,9,5,3.08,1.9200000000000004,0.6099180272790762,1.5514509338035798,0.5530828568837945
15,10,S15,E10,A Yardstick for Failure,7.8,15_10,0.5581563056514335,15,10,5,2.2800000000000002,2.4800000000000004,0.4147288270665544,1.4956603892595408,0.6237957363510859
